number(0), number(1), t, x(0), x(1), x(2), data 
0, 0, 9.994860e+00, -3.016106e-16, 0.000000e+00, 6.930000e-01, -2.959950e-03, -1.602744e-02, -8.996762e-02, -3.999193e-01, 1.407300e-03, 1.339706e+00, 1.607110e-03, 5.808891e+00, 3.879101e-03
0, 0, 9.984825e+00, -3.016106e-16, 0.000000e+00, 6.930000e-01, 7.361315e-03, -1.608765e-02, -1.041492e-01, -4.422652e-01, -4.903813e-04, 1.333417e+00, 1.731862e-03, 5.802591e+00, 5.120092e-03
0, 0, 9.974790e+00, -3.016106e-16, 0.000000e+00, 6.930000e-01, 1.686735e-02, -1.225825e-02, -1.142474e-01, -4.851552e-01, -2.200984e-03, 1.330707e+00, 1.364982e-03, 5.811913e+00, 4.751712e-03
0, 0, 9.964755e+00, -3.016106e-16, 0.000000e+00, 6.930000e-01, 2.504671e-02, -5.002653e-03, -1.178744e-01, -5.232588e-01, -3.467708e-03, 1.331621e+00, 7.097614e-04, 5.843192e+00, 2.719464e-03
0, 0, 9.954720e+00, -3.016106e-16, 0.000000e+00, 6.930000e-01, 3.178581e-02, 4.672175e-03, -1.132136e-01, -5.511211e-01, -4.044634e-03, 1.335386e+00, 9.721458e-05, 5.901143e+00, -4.310316e-04
0, 0, 9.944685e+00, -3.016106e-16, 0.000000e+00, 6.930000e-01, 3.731897e-02, 1.538136e-02, -9.952229e-02, -5.642266e-01, -3.749781e-03, 1.340686e+00, -1.554993e-04, 5.986909e+00, -3.712231e-03
0, 0, 9.934650e+00, -3.016106e-16, 0.000000e+00, 6.930000e-01, 4.214060e-02, 2.563013e-02, -7.736649e-02, -5.598137e-01, -2.622579e-03, 1.346293e+00, 9.768387e-05, 6.097040e+00, -6.072439e-03
0, 0, 9.924615e+00, -3.016106e-16, 0.000000e+00, 6.930000e-01, 4.687623e-02, 3.409800e-02, -4.855961e-02, -5.373287e-01, -9.888925e-04, 1.351781e+00, 7.735733e-04, 6.223682e+00, -6.770639e-03
0, 0, 9.914580e+00, -3.016106e-16, 0.000000e+00, 6.930000e-01, 5.210820e-02, 3.984028e-02, -1.587080e-02, -4.986151e-01, 6.790633e-04, 1.357847e+00, 1.636073e-03, 6.355832e+00, -5.562934e-03
0, 0, 9.904545e+00, -3.016106e-16, 0.000000e+00, 6.930000e-01, 5.819897e-02, 4.237186e-02, 1.742229e-02, -4.478414e-01, 1.991256e-03, 1.366030e+00, 2.422947e-03, 6.481336e+00, -2.690011e-03
