number(0), number(1), t, x(0), x(1), x(2), data 
0, 0, 9.997714e+00, 2.338824e+01, 0.000000e+00, 8.000000e+00, -1.422466e-02, 9.962519e-03, -1.045975e-02, 8.438917e-01, -8.738574e-04, 9.637783e+00, -3.401900e-04, -8.367541e-01, 1.468093e-03, -7.184917e-01, 1.868275e-01, 1.148878e+00
0, 0, 9.987300e+00, 2.338824e+01, 0.000000e+00, 8.000000e+00, -1.405872e-02, 1.075370e-02, -1.038026e-02, 8.460386e-01, -1.036121e-03, 9.639492e+00, -2.681061e-04, -8.364747e-01, 1.608781e-03, -7.183444e-01, 1.867197e-01, 1.148987e+00
0, 0, 9.976886e+00, 2.338824e+01, 0.000000e+00, 8.000000e+00, -1.385661e-02, 1.155171e-02, -1.023852e-02, 8.489515e-01, -1.130772e-03, 9.641357e+00, -1.742959e-04, -8.367238e-01, 1.644236e-03, -7.181990e-01, 1.866037e-01, 1.149094e+00
0, 0, 9.966471e+00, 2.338824e+01, 0.000000e+00, 8.000000e+00, -1.364223e-02, 1.233246e-02, -1.005309e-02, 8.530189e-01, -1.154863e-03, 9.643469e+00, -6.408951e-05, -8.374059e-01, 1.566650e-03, -7.180558e-01, 1.864794e-01, 1.149199e+00
0, 0, 9.956057e+00, 2.338824e+01, 0.000000e+00, 8.000000e+00, -1.344076e-02, 1.307047e-02, -9.843444e-03, 8.585941e-01, -1.112230e-03, 9.645958e+00, 5.383025e-05, -8.384000e-01, 1.377098e-03, -7.179148e-01, 1.863472e-01, 1.149303e+00
0, 0, 9.945643e+00, 2.338824e+01, 0.000000e+00, 8.000000e+00, -1.327604e-02, 1.374011e-02, -9.628341e-03, 8.659564e-01, -1.016099e-03, 9.648984e+00, 1.696299e-04, -8.395637e-01, 1.087679e-03, -7.177757e-01, 1.862076e-01, 1.149404e+00
0, 0, 9.935229e+00, 2.338824e+01, 0.000000e+00, 8.000000e+00, -1.316851e-02, 1.431728e-02, -9.424443e-03, 8.752819e-01, -8.894226e-04, 9.652715e+00, 2.742172e-04, -8.407390e-01, 7.221288e-04, -7.176380e-01, 1.860615e-01, 1.149503e+00
0, 0, 9.924814e+00, 2.338824e+01, 0.000000e+00, 8.000000e+00, -1.313353e-02, 1.478087e-02, -9.245114e-03, 8.866247e-01, -7.617496e-04, 9.657312e+00, 3.599684e-04, -8.417591e-01, 3.142391e-04, -7.175011e-01, 1.859100e-01, 1.149600e+00
0, 0, 9.914400e+00, 2.338824e+01, 0.000000e+00, 8.000000e+00, -1.317999e-02, 1.511415e-02, -9.099221e-03, 8.999051e-01, -6.630143e-04, 9.662906e+00, 4.202151e-04, -8.424594e-01, -9.593550e-05, -7.173641e-01, 1.857543e-01, 1.149696e+00
0, 0, 9.903986e+00, 2.338824e+01, 0.000000e+00, 8.000000e+00, -1.330916e-02, 1.530563e-02, -8.989882e-03, 9.149051e-01, -6.160982e-04, 9.669585e+00, 4.481622e-04, -8.426920e-01, -4.675039e-04, -7.172263e-01, 1.855958e-01, 1.149790e+00
